what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110306-1700,"org.eclipse.ui.edit.text.goto.wordNext",1304963882926
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110306-1700,"org.eclipse.ui.edit.text.goto.wordNext",1304963883145
executed,command,org.eclipse.ui,3.7.0.I20110426-2000,"org.eclipse.ui.file.save",1304963885395
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110306-1700,"org.eclipse.ui.edit.text.select.wordNext",1304963890754
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110306-1700,"org.eclipse.ui.edit.text.select.wordNext",1304963890895
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110306-1700,"org.eclipse.ui.edit.text.select.wordNext",1304963891145
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110306-1700,"org.eclipse.ui.edit.text.select.wordNext",1304963891379
executed,command,org.eclipse.ui,3.7.0.I20110426-2000,"org.eclipse.ui.file.save",1304963902926
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110306-1700,"org.eclipse.ui.edit.text.goto.lineEnd",1304963907176
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110306-1700,"org.eclipse.ui.edit.text.goto.lineStart",1304963908458
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110306-1700,"org.eclipse.ui.edit.text.goto.lineStart",1304963908754
executed,command,org.eclipse.debug.ui,3.7.0.v20110411,"org.eclipse.debug.ui.commands.RunLast",1304963917598
started,bundle,org.eclipse.jdt.junit.core,3.7.0.v20110427-0800,"org.eclipse.jdt.junit.core",1304963917676
opened,view,org.eclipse.jdt.junit,3.7.0.v20110427-0800,"org.eclipse.jdt.junit.ResultView",1304963919551
opened,view,org.eclipse.ui.console,3.5.100.v20110413,"org.eclipse.ui.console.ConsoleView",1304963920317
activated,view,org.eclipse.ui.console,3.5.100.v20110413,"org.eclipse.ui.console.ConsoleView",1304963920380
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110426-2000,"",1304963923583
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110426-2000,"",1304963926864
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110427-1800,"org.eclipse.jdt.ui.CompilationUnitEditor",1304963930770
activated,editor,org.eclipse.wst.xml.ui,1.1.200.v201104192009,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1304963934145
error,log,,,"Internal Error",1304963942427
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110306-1700,"org.eclipse.ui.edit.text.delete.line",1304964220181
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110306-1700,"org.eclipse.ui.edit.text.delete.line",1304964220931
executed,command,org.eclipse.ui,3.7.0.I20110426-2000,"org.eclipse.ui.file.save",1304964221212
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110426-2000,"",1304964227275
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110426-2000,"",1304964280713
executed,command,org.eclipse.ui,3.7.0.I20110426-2000,"org.eclipse.ui.file.save",1304964301245
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110306-1700,"org.eclipse.ui.edit.text.goto.lineEnd",1304964303198
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110306-1700,"org.eclipse.ui.edit.text.deletePreviousWord",1304964305354
executed,command,org.eclipse.ui,3.7.0.I20110426-2000,"org.eclipse.ui.file.save",1304964314745
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110426-2000,"",1304964316870
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110426-2000,"",1304964369418
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110426-2000,"",1304964378184
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110426-2000,"",1304964396137
activated,view,org.eclipse.jdt.ui,3.7.0.v20110427-1800,"org.eclipse.jdt.ui.PackageExplorer",1304964396293
activated,editor,org.eclipse.wst.xml.ui,1.1.200.v201104192009,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1304964403356
activated,view,org.eclipse.jdt.ui,3.7.0.v20110427-1800,"org.eclipse.jdt.ui.PackageExplorer",1304964618343
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110426-2000,"",1304964631327
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110426-2000,"",1304964764234
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110427-1800,"org.eclipse.jdt.ui.CompilationUnitEditor",1304964764453
executed,command,org.eclipse.ui,3.7.0.I20110426-2000,"org.eclipse.ui.edit.text.contentAssist.proposals",1304964770859
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110306-1700,"org.eclipse.ui.edit.text.delete.line",1304964773203
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110306-1700,"org.eclipse.ui.edit.text.moveLineUp",1304964776219
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110306-1700,"org.eclipse.ui.edit.text.moveLineUp",1304964776391
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110306-1700,"org.eclipse.ui.edit.text.delete.line",1304964778891
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110306-1700,"org.eclipse.ui.edit.text.delete.line",1304964779063
executed,command,org.eclipse.ui,3.7.0.I20110426-2000,"org.eclipse.ui.file.save",1304964779422
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110426-2000,"",1304964809610
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110426-2000,"",1304964885626
activated,editor,org.eclipse.wst.xml.ui,1.1.200.v201104192009,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1304964885813
executed,command,org.eclipse.ui,3.7.0.I20110426-2000,"org.eclipse.ui.edit.cut",1304964900688
executed,command,org.eclipse.ui,3.7.0.I20110426-2000,"org.eclipse.ui.file.save",1304964901845
activated,view,org.eclipse.jdt.ui,3.7.0.v20110427-1800,"org.eclipse.jdt.ui.PackageExplorer",1304964904923
activated,editor,org.eclipse.wst.xml.ui,1.1.200.v201104192009,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1304964908626
executed,command,org.eclipse.ui,3.7.0.I20110426-2000,"org.eclipse.ui.edit.paste",1304964915173
executed,command,org.eclipse.ui,3.7.0.I20110426-2000,"org.eclipse.ui.file.save",1304964915970
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110306-1700,"org.eclipse.ui.edit.text.goto.lineEnd",1304964922017
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110306-1700,"org.eclipse.ui.edit.text.goto.wordNext",1304964923251
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110306-1700,"org.eclipse.ui.edit.text.goto.wordNext",1304964923407
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110306-1700,"org.eclipse.ui.edit.text.goto.wordNext",1304964923564
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110306-1700,"org.eclipse.ui.edit.text.goto.wordNext",1304964923735
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110306-1700,"org.eclipse.ui.edit.text.select.wordPrevious",1304964924860
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110306-1700,"org.eclipse.ui.edit.text.select.wordPrevious",1304964925032
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110306-1700,"org.eclipse.ui.edit.text.select.wordPrevious",1304964925189
